Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
Area: Rect { x: 0, y: 0, width: 67, height: 10 }, Chunk1: Rect { x: 0, y: 3, width: 67, height: 7 }, Main0: Rect { x: 0, y: 3, width: 34, height: 7 }, Main1: Rect { x: 34, y: 3, width: 33, height: 7 }
